name,ID,area,X,Y
GUTACH,6335621,302.6,4171296,2780443
MURR,6335675,504.4,4266831,2872178
UNTERGRIESHEIM,6335681,1827,4264254,2906478
NEUSTADT,6335690,570.9,4270727,2859674
OBERWOLFACH,6335725,124.5,4188706,2801949
ZELL,6335730,207.9,4159196,2734143
BAYREUTH,6335810,323.3,4434270,2982785
RASCH,6335820,208.5,4421245,2918301
DOERVERDEN,6337515,21860,4267846,3305001
RECKERSHAUSEN,6337541,317.2,4316254,3143601
EINEN,6338150,1502,4176601,3209001
BOKELOH,6338160,326.8,4184619,3246001
EVERSBURG,6338163,3096,4141719,3290466
ROCKSTEDT,6338250,590.1,4108154,3281601
EMMEN,6338260,171,4265711,3359344
TREIA,6338800,503.1,4301754,3365201
BIENENBUETTEL,6340050,1415,4276754,3490001
LAUCHA,6340200,6222,4352084,3338171
JEHRDEN,6340218,410.1,4438596,3125209
KETZIN,6340510,14990,4322054,3364901
ADOLF,6340670,115.9,4514457,3267407
BAD LIEBENWERDA,6340700,3242,4481840,3026115
PFAFFENHOFFEN,6342120,516.3,4556580,3161975
FISCHACH,6342125,131.1,4369454,2797401
WIBLINGEN,6342201,2113,4320088,2806301
RECKENBERG,6342210,125.5,4345877,2710101
HOHENKAMMER,6342655,388.1,4433835,2814001
VILSBIBURG,6342675,303.8,4495354,2817801
HOERMANNSBERG,6342820,211.8,4569329,2841201
EBERHARDSREUTH,6342960,114.2,4567954,2861901
SIEGSDORF,6343535,135.6,4519254,2748722
BLIESDORF,6941100,701.3,4602510,3295582
DILLINGEN,10035801,11220,4357968,2828356
DONAUWOERTH,10039802,14520,4380061,2844371
INGOLSTADT,10046003,18740,4425540,2850085
KELHEIM,10053009,21550,4457669,2868823
REINHEIM,10622200,1434,4115255,2895239
NALBACH,10922200,710.5,4087830,2923306
KEMPTEN,11402001,842.7,4087830,2923306
OFFINGEN,11609000,956.9,4344941,2735257
GEROLFINGE,11805008,588.2,4349014,2819370
HARBUR,11809009,1578,4358759,2881496
DRUISHEIM,11946000,486.1,4373954,2833201
TUERKHEIM,12406008,641,4381354,2836201
LEUTERSCHACH,12425002,291.7,4369702,2772351
DASING,13202003,79.01,4364454,2738501
M??HLRIED,13206004,513.4,4398954,2808501
AUNKOFEN,13322005,51.46,4415754,2829701
LEBACH,13322200,207.1,4443654,2857801
THAN,13402807,323,4096511,2926661
TREUCHTLINGE,13406105,980.7,4360628,2899426
EICHSTAET,13407200,1394,4387936,2871516
UNTERKOEBLITZ,14002305,2008,4409068,2864085
MUENCHSHOFEN,14006000,3654,4477108,2938392
HEITZENHOFEN,14008006,5095,4472639,2904557
WINDISCHESCHENBACH,14101205,566.8,4462478,2891313
WILDENAU,14209008,717.6,4476995,2967362
WARNBACH,14408004,729.8,4474946,2946267
DIETLDORF,14608003,1120,4481435,2923941
CHAMERAU,15202300,1292,4462534,2900562
KIENHOF,15205501,1978,4521381,2900250
REGENSTAUF,15208500,2468,4503012,2900544
DEGGENDORF,15993001,36.12,4476313,2892947
PLATTLING,16008506,8041,4538254,2865101
SCHLEHDORF,16404900,352.2,4416833,2704135
GRAFRATH,16603000,1187,4436638,2741814
FUERSTENFELDBRUCK,16605006,1240,4407554,2779301
INKOFEN,16607001,2814,4414838,2785723
OBERAMMERGAU,16610709,109.1,4459082,2817979
PEI?ƑENBERG,16612001,286.1,4401054,2720701
OBERHAUSEN,16618008,112.8,4400254,2741301
BERGKIRCHEN,16658002,217.8,4405054,2740101
ROTTERSDORF,17204204,723.6,4439354,2814701
GRAFENMUEHLE,17207508,1435,4519660,2836226
VILSBIBURG,17215007,518.9,4552928,2838023
DIETELSKIRCHEN,17225000,143.2,4500054,2823401
KALTENECK,17406005,834.3,4569654,2840801
BAD TRI?ƑL,18193001,38.72,4574880,2847786
STEPHANSKIRCHEN,18199008,100.9,4484554,2729401
FELDOLLING,18204006,494.8,4481054,2752501
ROSENHEIM,18209000,1081,4457654,2755501
ENGFURT,18384509,573.1,4479763,2750262
PRIEN,18463004,81.87,4511719,2771411
FRITZ AM SAND,18484503,106.9,4496354,2752001
ILSANK,18622006,126.2,4519254,2743601
TEISENDORF,18662000,53.56,4545354,2728001
